Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,
CLAS 321,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,TBA,,,,,,
CLAS 352,001,Friday,"December 9, 2016",12:30 PM,2:30 PM,MC 4042,,,,,,
CLAS 486,001,Monday,"December 12, 2016",12:30 PM,2:30 PM,MC 4064,,,,,,
CLAS 651,001,Monday,"December 12, 2016",12:30 PM,2:30 PM,MC 4064,,,,,,
CM 762,001,Wednesday,"December 21, 2016",7:30 PM,10:00 PM,DC 1351,,,,,,
CMW 364,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CO 227,001,Thursday,"December 22, 2016",9:00 AM,11:30 AM,PAC 12,,,,,,
CO 250,"001,002",Thursday,"December 15, 2016",7:30 PM,10:00 PM,"PAC 1,2",,,,,,
CO 330,001,Wednesday,"December 21, 2016",12:30 PM,3:00 PM,PAC 6,,,,,,
CO 342,001,Tuesday,"December 20, 2016",12:30 PM,3:00 PM,"PAC 9,10",,,,,,
CO 351,001,Thursday,"December 15, 2016",7:30 PM,10:00 PM,PAC 8,,,,,,
CO 367,001,Saturday,"December 17, 2016",9:00 AM,11:30 AM,PAC 10,,,,,,
CO 370,001,Thursday,"December 22, 2016",9:00 AM,11:30 AM,"PAC 7,8",,,,,,
CO 372,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,MC 4041,,,,,,
CO 442,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CO 450,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 2017,,,,,,
CO 456,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,MC 1085,,,,,,
CO 466,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,MC 4042,,,,,,
CO 485,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,MC 4040,,,,,,
CO 642,001,Thursday,"December 8, 2016",4:00 PM,6:30 PM,TBA,,,,,,
CO 650,001,Thursday,"December 8, 2016",9:00 AM,11:30 AM,MC 2017,,,,,,
CO 666,001,Saturday,"December 10, 2016",12:30 PM,3:00 PM,MC 4042,,,,,,
CO 685,001,Monday,"December 12, 2016",12:30 PM,3:00 PM,MC 4040,,,,,,
COMM 231,001,Monday,"December 19, 2016",9:00 AM,11:30 AM,"STC 0010,0020",,,,,,
COMM 421,001,Friday,"December 16, 2016",9:00 AM,11:30 AM,MC 4041,,,,,,
COMM 431,001,Wednesday,"December 14, 2016",9:00 AM,11:30 AM,MC 4040,,,,,,
CROAT 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,
