Exam,Section,Day,Date,Start,End,Location
ME 456,001,Wednesday,"August 3, 2011",12:30 PM,3:00 PM,CPH 3679
ME 459,001,Tuesday,"August 9, 2011",12:30 PM,3:00 PM,"E5 3101,3102"
ME 548,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,CPH 3679
ME 559,001,Thursday,"August 11, 2011",12:30 PM,3:00 PM,CPH 3679
ME 561,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,CPH 3679
MSCI 211,002,Friday,"August 12, 2011",7:30 PM,10:00 PM,PAC 4
MSCI 252,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 6
MSCI 261,"001,002",Friday,"August 12, 2011",12:30 PM,3:00 PM,"CPH 1346, E2 1310"
MSCI 261,003,Friday,"August 12, 2011",12:30 PM,3:00 PM,PAC 3
MSCI 263,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,PAC 5
MSCI 331,001,Friday,"August 5, 2011",9:00 AM,11:30 AM,PAC 3
MSCI 331,002,Friday,"August 5, 2011",9:00 AM,11:30 AM,PAC 6
MSCI 346,001,Tuesday,"August 2, 2011",12:30 PM,3:00 PM,DWE 3522
MSCI 421,001,Saturday,"August 6, 2011",7:30 PM,10:00 PM,PAC 4
MSCI 432,001,Wednesday,"August 3, 2011",4:00 PM,6:30 PM,PAC 4
MSCI 434,001,Thursday,"August 4, 2011",4:00 PM,6:30 PM,PAC 2
MSCI 445,001,Wednesday,"August 3, 2011",12:30 PM,3:00 PM,PAC 1
MSCI 452,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,PAC 7
MSCI 531,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,MC 4064
MSCI 551,001,Tuesday,"August 9, 2011",9:00 AM,11:30 AM,PAC 9
MTE 111,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,DC 1351
MTE 119,001,Monday,"August 8, 2011",9:00 AM,11:30 AM,"PAC 11,12"
MTE 120,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,DC 1351
MTE 140,001,Saturday,"August 6, 2011",12:30 PM,3:00 PM,"PAC 7,8"
MTE 320,001,Thursday,"August 4, 2011",9:00 AM,11:30 AM,"E5 3101,3102"
MUSIC 100,001,Friday,"August 12, 2011",12:30 PM,3:00 PM,MC 1085
MUSIC 140,001,Thursday,"August 11, 2011",9:00 AM,11:30 AM,"DC 1350,1351"
MUSIC 245,001,Monday,"August 8, 2011",12:30 PM,3:00 PM,MC 1085
MUSIC 270,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,CGC 1302
NE 217,001,Wednesday,"August 10, 2011",7:30 PM,10:00 PM,PAC 6
NE 226,001,Thursday,"August 4, 2011",12:30 PM,3:00 PM,PAC 6
NE 232,001,Tuesday,"August 2, 2011",9:00 AM,11:30 AM,"MC 2017,2054"
NE 242,001,Saturday,"August 13, 2011",9:00 AM,11:30 AM,PAC 4
NE 318,001,Friday,"August 12, 2011",9:00 AM,11:30 AM,PAC 6
NE 333,001,Wednesday,"August 3, 2011",9:00 AM,11:30 AM,PAC 7
