Exam,Section(s),Day,Date,Start,Finish,Location
MSCI 271,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
MSCI 311,001,Saturday,"December 16, 2017",12:30 PM,3:00 PM,TBA
MSCI 331,001,Friday,"December 15, 2017",7:30 PM,10:00 PM,Sched Only
MSCI 332,"001,002",Thursday,"December 7, 2017",9:00 AM,11:30 AM,Sched Only
MSCI 333,001,Wednesday,"December 13, 2017",4:00 PM,6:30 PM,TBA
MSCI 342,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,Sched Only
MSCI 422,001,Monday,"December 18, 2017",9:00 AM,11:30 AM,TBA
MSCI 432,001,Thursday,"December 21, 2017",9:00 AM,11:30 AM,TBA
MSCI 446,001,Saturday,"December 9, 2017",4:00 PM,6:30 PM,Sched Only
MTE 201,001,Monday,"December 18, 2017",9:00 AM,11:30 AM,TBA
MTE 202,001,Tuesday,"December 12, 2017",9:00 AM,11:30 AM,TBA
MTE 203,001,Thursday,"December 14, 2017",12:30 PM,3:00 PM,TBA
MTE 204,001,Monday,"December 18, 2017",12:30 PM,3:00 PM,TBA
MTE 219,001,Saturday,"December 9, 2017",12:30 PM,3:00 PM,TBA
MTE 220,001,Friday,"December 8, 2017",12:30 PM,3:00 PM,TBA
MTE 241,001,Wednesday,"December 20, 2017",12:30 PM,3:00 PM,TBA
MTE 262,001,Thursday,"December 14, 2017",9:00 AM,11:30 AM,TBA
MTE 322,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
MTE 360,001,Wednesday,"December 13, 2017",9:00 AM,11:30 AM,TBA
MTE 420,001,Friday,"December 8, 2017",7:30 PM,10:00 PM,TBA
MTE 545,001,Friday,"December 8, 2017",12:30 PM,3:00 PM,TBA
MTHEL 131,001,Tuesday,"December 19, 2017",12:30 PM,2:30 PM,TBA
MUSIC 100,001,Wednesday,"December 20, 2017",4:00 PM,6:30 PM,Sched Only
MUSIC 140,001,Tuesday,"December 12, 2017",4:00 PM,6:30 PM,Sched Only
MUSIC 253,001,Monday,"December 11, 2017",9:00 AM,11:00 AM,Sched Only
MUSIC 254,001,Monday,"December 11, 2017",4:00 PM,6:00 PM,Sched Only
MUSIC 270,001,Saturday,"December 9, 2017",4:00 PM,6:30 PM,Sched Only
MUSIC 275,001,Thursday,"December 7, 2017",9:00 AM,11:30 AM,Sched Only
MUSIC 363,001,Friday,"December 8, 2017",9:00 AM,11:30 AM,Sched Only
MUSIC 370,001,Thursday,"December 7, 2017",9:00 AM,11:30 AM,Sched Only
NE 100,001,Friday,"December 15, 2017",4:00 PM,6:30 PM,TBA
NE 109,001,Saturday,"December 9, 2017",12:30 PM,1:30 PM,TBA
NE 111,001,Monday,"December 18, 2017",12:30 PM,3:00 PM,TBA
NE 112,001,Monday,"December 11, 2017",12:30 PM,3:00 PM,TBA
NE 121,001,Thursday,"December 14, 2017",9:00 AM,11:30 AM,TBA
NE 201,001,Thursday,"December 7, 2017",12:30 PM,2:00 PM,TBA
NE 215,001,Monday,"December 11, 2017",12:30 PM,3:00 PM,TBA
NE 216,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
NE 224,001,Friday,"December 15, 2017",12:30 PM,3:00 PM,TBA
NE 232,001,Monday,"December 18, 2017",9:00 AM,11:30 AM,TBA
NE 241,001,Wednesday,"December 20, 2017",9:00 AM,11:30 AM,TBA
NE 335,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
NE 336,001,Thursday,"December 7, 2017",12:30 PM,3:00 PM,TBA
NE 345,001,Thursday,"December 21, 2017",9:00 AM,11:30 AM,TBA
NE 352,001,Thursday,"December 14, 2017",12:30 PM,3:00 PM,TBA
NE 353,001,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
NE 381,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,TBA
NE 451,001,Monday,"December 11, 2017",9:00 AM,11:30 AM,TBA
NE 461,001,Thursday,"December 21, 2017",9:00 AM,11:30 AM,TBA
NE 471,001,Tuesday,"December 19, 2017",4:00 PM,6:30 PM,TBA
NE 481,001,Wednesday,"December 13, 2017",12:30 PM,3:00 PM,TBA
NE 491,001,Friday,"December 15, 2017",9:00 AM,11:30 AM,TBA
OPTOM 104,001,Thursday,"December 7, 2017",9:00 AM,11:30 AM,REV 200
OPTOM 105,001,Wednesday,"December 13, 2017",9:00 AM,10:30 AM,REV 200
OPTOM 106,001,Saturday,"December 9, 2017",9:00 AM,11:00 AM,REV 200
OPTOM 108,001,Friday,"December 15, 2017",9:00 AM,10:30 AM,REV 200
OPTOM 124,001,Monday,"December 11, 2017",9:00 AM,11:00 AM,REV 200
OPTOM 215,001,Thursday,"December 7, 2017",12:30 PM,2:30 PM,REV 200
OPTOM 216,001,Friday,"December 15, 2017",12:30 PM,2:30 PM,REV 200
OPTOM 231,001,Monday,"December 11, 2017",12:30 PM,3:00 PM,REV 200
OPTOM 245,001,Wednesday,"December 13, 2017",12:30 PM,2:30 PM,REV 200
OPTOM 252,001,Saturday,"December 9, 2017",12:30 PM,2:30 PM,REV 200
OPTOM 342A,001,Monday,"December 11, 2017",4:00 PM,6:30 PM,REV 200
OPTOM 347,001,Wednesday,"December 13, 2017",4:00 PM,6:30 PM,REV 200
OPTOM 375,001,Saturday,"December 9, 2017",4:00 PM,6:30 PM,REV 200
OPTOM 387,001,Thursday,"December 7, 2017",4:00 PM,6:30 PM,REV 200
PACS 201,001,Wednesday,"December 20, 2017",9:00 AM,11:30 AM,Sched Only
PACS 202,001,Monday,"December 18, 2017",7:30 PM,10:00 PM,Sched Only
PACS 202,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
PHIL 100J,001,Wednesday,"December 20, 2017",12:30 PM,3:00 PM,Sched Only
PHIL 100J,"002,003",Friday,"December 15, 2017",4:00 PM,6:30 PM,Sched Only
PHIL 110A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,
