Exam,Section(s),Day,Day/Date,Start,Finish,Location,,,,,,,,,,,
CIVE 507,001,Monday,"April 15, 2019",9:00 AM,11:30 AM,"RCH 307, 308",,,,,,,,,,,
CIVE 542,001,Wednesday,"April 17, 2019",9:00 AM,11:30 AM,RCH 307,,,,,,,,,,,
CIVE 554,001,Monday,"April 15, 2019",7:30 PM,10:00 PM,DWE 3516,,,,,,,,,,,
CIVE 583,001,Wednesday,"April 17, 2019",7:30 PM,10:00 PM,DWE 2527,,,,,,,,,,,
CIVE 596,001,Thursday,"April 25, 2019",12:30 PM,3:00 PM,"RCH 307, 308",,,,,,,,,,,
CIVE 641,001,Wednesday,"April 10, 2019",9:00 AM,11:30 AM,RCH 302,,,,,,,,,,,
CIVE 700,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,E2 3356,,,,,,,,,,,
CIVE 740,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,DWE 3518,,,,,,,,,,,
CLAS 104,001,Thursday,"April 18, 2019",4:00 PM,6:00 PM,"PAC 1,2,3,4,5,6,7",,,,,,,,,,,
CLAS 205,001,Wednesday,"April 17, 2019",7:30 PM,9:30 PM,STC 0010,,,,,,,,,,,
CLAS 221,001,Wednesday,"April 10, 2019",12:30 PM,3:00 PM,PAS 2083,,,,,,,,,,,
CLAS 232,001,Thursday,"April 25, 2019",12:30 PM,2:30 PM,MC 4064,,,,,,,,,,,
CLAS 242,001,Monday,"April 22, 2019",12:30 PM,2:30 PM,STC 0010,,,,,,,,,,,
CLAS 252,001,Tuesday,"April 16, 2019",12:30 PM,2:30 PM,MC 4045,,,,,,,,,,,
CLAS 321,001,Thursday,"April 11, 2019",7:30 PM,10:00 PM,EV2 2002,,,,,,,,,,,
CLAS 327,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,,,,,,,,,
CM 730,001,Thursday,"April 25, 2019",9:00 AM,11:30 AM,PAC UPPER 10,,,,,,,,,,,
CM 761,001,Wednesday,"April 10, 2019",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,
CM 762,001,Friday,"April 12, 2019",12:30 PM,3:00 PM,PAC UPPER 10,,,,,,,,,,,
CM 763,001,Friday,"April 12, 2019",7:30 PM,10:00 PM,PAC 7,,,,,,,,,,,
CO 227,001,Tuesday,"April 23, 2019",9:00 AM,11:30 AM,PAC 6,,,,,,,,,,,
CO 250,"001,002",Wednesday,"April 24, 2019",7:30 PM,10:00 PM,"PAC 1,2",,,,,,,,,,,
CO 250,081,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
CO 255,001,Tuesday,"April 16, 2019",4:00 PM,6:30 PM,MC 4041,,,,,,,,,,,
CO 327,001,Wednesday,"April 24, 2019",9:00 AM,11:30 AM,MC 4060,,,,,,,,,,,
CO 331,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,MC 4021,,,,,,,,,,,
CO 353,001,Wednesday,"April 24, 2019",12:30 PM,3:00 PM,MC 4020,,,,,,,,,,,
CO 370,001,Wednesday,"April 17, 2019",12:30 PM,3:00 PM,"PAC 1,2",,,,,,,,,,,
CO 372,001,Thursday,"April 11, 2019",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
CO 430,001,Monday,"April 15, 2019",4:00 PM,6:30 PM,MC 4058,,,,,,,,,,,
CO 452,001,Thursday,"April 18, 2019",9:00 AM,11:30 AM,PAC UPPER 10,,,,,,,,,,,
CO 463,001,Friday,"April 12, 2019",9:00 AM,11:30 AM,MC 4063,,,,,,,,,,,
CO 481,001,Thursday,"April 18, 2019",7:30 PM,10:00 PM,DC 1350,,,,,,,,,,,
